Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Header.Length.1,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label,L7Protocol,ProtocolName
10.200.1.166-10.200.7.194-443-41229-6,10.200.1.166,443,10.200.7.194,41229,6,26/04/201711:11:19,12,3,0,62,0,31,0,20.6666666666667,17.8978583448784,0,0,0,0,5166666.66666667,250000,6,8.48528137423857,12,0,12,6,8.48528137423857,12,0,0,0,0,0,0,1,0,0,0,96,0,250000,0,0,31,23.25,15.5,240.25,0,1,0,0,1,0,0,0,0,31,20.6666666666667,0,96,0,0,0,0,0,0,3,62,0,0,267,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,91,SSL
10.200.1.166-10.200.7.194-443-41229-6,10.200.1.166,443,10.200.7.194,41229,6,26/04/201711:11:19,245,3,3,31,0,31,0,10.3333333333333,17.8978583448784,0,0,0,0,126530.612244898,24489.7959183673,49,75.1199041532935,180,0,245,122.5,116.67261889578,205,40,1,0.5,0.707106781186548,1,0,0,0,0,0,96,96,12244.8979591837,12244.8979591837,0,31,4.42857142857143,11.716898663286,137.285714285714,0,0,0,0,1,1,0,0,1,5.16666666666667,10.3333333333333,0,96,0,0,0,0,0,0,3,31,3,0,267,279,1,32,0,0,0,0,0,0,0,0,BENIGN,91,SSL
212.124.124.94-10.200.7.194-443-44461-6,10.200.7.194,44461,212.124.124.94,443,6,26/04/201711:11:18,318263,6,5,2277,628,1970,0,379.5,784.727659764838,448,6,125.6,188.16827575338,9127.6711399063,34.5626101683199,31826.3,49699.3987132194,104647,0,212308,42461.6,56090.3123435768,104647,813,108740,27185,52981.2097697539,106643,0,0,0,0,0,140,100,18.8523328190836,15.7102773492363,0,1970,242.083333333333,560.872932997927,314578.446969697,0,0,0,1,0,0,0,0,0,264.090909090909,379.5,125.6,140,0,0,0,0,0,0,6,2277,5,628,14600,19,5,20,0,0,0,0,0,0,0,0,BENIGN,91,SSL
192.168.180.51-10.200.7.4-57752-3128-6,192.168.180.51,57752,10.200.7.4,3128,6,26/04/201711:11:18,326665,6,41,2502,1515,1970,0,417,768.518054439842,479,0,36.9512195121951,83.0430464336154,12297.0015153139,143.878285093291,7101.41304347826,26048.638195649,105664,0,219896,43979.2,57364.2148573481,109520,1339,324292,8107.3,27843.1922961615,105664,0,0,0,0,0,132,868,18.3674406502074,125.510844443084,0,1970,83.6875,291.441330634705,84938.0492021277,0,0,0,1,0,0,0,0,6,85.468085106383,417,36.9512195121951,132,0,0,0,0,0,0,6,2502,41,1515,8192,353,5,20,0,0,0,0,0,0,0,0,BENIGN,130,HTTP_CONNECT
192.168.180.51-10.200.7.4-57752-3128-6,10.200.7.4,3128,192.168.180.51,57752,6,26/04/201711:11:19,1,2,0,485,0,479,6,242.5,334.461507501237,0,0,0,0,4.85e+08,2e+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2e+06,0,6,479,321.333333333333,273.086677326693,74576.3333333333,0,1,0,0,1,0,0,0,0,482,242.5,0,40,0,0,0,0,0,0,2,485,0,0,353,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
212.124.124.94-10.200.7.194-443-44463-6,10.200.7.194,44463,212.124.124.94,443,6,26/04/201711:11:18,309063,6,6,2275,628,1968,0,379.166666666667,783.916938627216,448,0,104.666666666667,175.940520252347,9392.9069477744,38.8270352646548,28096.6363636364,46870.493648505,101209,0,206595,41319,54672.1608544971,101323,1120,207854,41570.8,56239.2734056904,103357,0,0,0,0,0,140,132,19.4135176323274,19.4135176323274,0,1968,223.307692307692,540.638262398464,292289.730769231,0,0,0,1,0,0,0,0,1,241.916666666667,379.166666666667,104.666666666667,140,0,0,0,0,0,0,6,2275,6,628,14600,19,5,20,0,0,0,0,0,0,0,0,BENIGN,91,SSL
192.168.180.51-10.200.7.4-57754-3128-6,192.168.180.51,57754,10.200.7.4,3128,6,26/04/201711:11:18,311618,7,42,2500,1515,1460,0,357.142857142857,518.385451368454,479,0,36.0714285714286,82.2220054982443,12884.3648312999,157.243804914992,6492.04166666667,24813.6031120529,102437,0,208888,34814.6666666667,52671.7117233403,103222,28,311466,7596.73170731707,26739.2056146255,102437,0,0,0,0,0,152,900,22.4634007021417,134.78040421285,0,1460,80.3,226.536499739635,51318.7857142857,0,0,0,1,0,0,0,0,6,81.9387755102041,357.142857142857,36.0714285714286,152,0,0,0,0,0,0,7,2500,42,1515,8192,353,6,20,0,0,0,0,0,0,0,0,BENIGN,130,HTTP_CONNECT
192.168.180.51-10.200.7.4-57754-3128-6,10.200.7.4,3128,192.168.180.51,57754,6,26/04/201711:11:19,1,2,0,485,0,479,6,242.5,334.461507501237,0,0,0,0,4.85e+08,2e+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2e+06,0,6,479,321.333333333333,273.086677326693,74576.3333333333,0,1,0,0,1,0,0,0,0,482,242.5,0,40,0,0,0,0,0,0,2,485,0,0,353,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57754-3128-6,10.200.7.4,3128,192.168.180.51,57754,6,26/04/201711:11:19,1,2,0,485,0,479,6,242.5,334.461507501237,0,0,0,0,4.85e+08,2e+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2e+06,0,6,479,321.333333333333,273.086677326693,74576.3333333333,0,1,0,0,1,0,0,0,0,482,242.5,0,40,0,0,0,0,0,0,2,485,0,0,353,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57754-3128-6,10.200.7.4,3128,192.168.180.51,57754,6,26/04/201711:11:19,5,2,0,485,0,479,6,242.5,334.461507501237,0,0,0,0,9.7e+07,4e+05,5,0,5,5,5,5,0,5,5,0,0,0,0,0,1,0,0,0,40,0,4e+05,0,6,479,321.333333333333,273.086677326693,74576.3333333333,0,1,0,0,1,0,0,0,0,482,242.5,0,40,0,0,0,0,0,0,2,485,0,0,353,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
